,NumUniqueAdresses
2010-09-03 18:15:05,363.0
2010-09-04 18:15:05,313.0
2010-09-05 18:15:05,351.0
2010-09-06 18:15:05,326.0
2010-09-07 18:15:05,284.0
2010-09-08 18:15:05,332.0
2010-09-09 18:15:05,383.0
2010-09-10 18:15:05,410.0
2010-09-11 18:15:05,328.0
2010-09-12 18:15:05,392.0
2010-09-13 18:15:05,489.0
2010-09-14 18:15:05,492.0
2010-09-15 18:15:05,491.0
2010-09-16 18:15:05,385.0
2010-09-17 18:15:05,382.0
2010-09-18 18:15:05,445.0
2010-09-19 18:15:05,379.0
2010-09-20 18:15:05,469.0
2010-09-21 18:15:05,743.0
2010-09-22 18:15:05,999.0
2010-09-23 18:15:05,801.0
2010-09-24 18:15:05,631.0
2010-09-25 18:15:05,499.0
2010-09-26 18:15:05,493.0
2010-09-27 18:15:05,753.0
2010-09-28 18:15:05,453.0
2010-09-29 18:15:05,1000.0
2010-09-30 18:15:05,427.0
2010-10-01 18:15:05,664.0
2010-10-02 18:15:05,609.0
2010-10-03 18:15:05,501.0
2010-10-04 18:15:05,525.0
2010-10-05 18:15:05,471.0
2010-10-06 18:15:05,493.0
2010-10-07 18:15:05,443.0
2010-10-08 18:15:05,421.0
2010-10-09 18:15:05,468.0
2010-10-10 18:15:05,460.0
2010-10-11 18:15:05,443.0
2010-10-12 18:15:05,439.0
2010-10-13 18:15:05,446.0
2010-10-14 18:15:05,459.0
2010-10-15 18:15:05,407.0
2010-10-16 18:15:05,493.0
2010-10-17 18:15:05,579.0
2010-10-18 18:15:05,623.0
2010-10-19 18:15:05,1240.0
2010-10-20 18:15:05,914.0
2010-10-21 18:15:05,745.0
2010-10-22 18:15:05,645.0
2010-10-23 18:15:05,776.0
2010-10-24 18:15:05,592.0
2010-10-25 18:15:05,601.0
2010-10-26 18:15:05,620.0
2010-10-27 18:15:05,778.0
2010-10-28 18:15:05,677.0
2010-10-29 18:15:05,537.0
2010-10-30 18:15:05,495.0
2010-10-31 18:15:05,345.0
2010-11-01 18:15:05,416.0
2010-11-02 18:15:05,321.0
2010-11-03 18:15:05,388.0
2010-11-04 18:15:05,378.0
2010-11-05 18:15:05,458.0
2010-11-06 18:15:05,453.0
2010-11-07 18:15:05,487.0
2010-11-08 18:15:05,544.0
2010-11-09 18:15:05,509.0
2010-11-10 18:15:05,416.0
2010-11-11 18:15:05,477.0
2010-11-12 18:15:05,333.0
2010-11-13 18:15:05,358.0
2010-11-14 18:15:05,442.0
2010-11-15 18:15:05,1882.0
2010-11-16 18:15:05,5349.0
2010-11-17 18:15:05,540.0
2010-11-18 18:15:05,486.0
2010-11-19 18:15:05,404.0
2010-11-20 18:15:05,610.0
2010-11-21 18:15:05,520.0
2010-11-22 18:15:05,499.0
2010-11-23 18:15:05,408.0
2010-11-24 18:15:05,610.0
2010-11-25 18:15:05,641.0
2010-11-26 18:15:05,889.0
2010-11-27 18:15:05,630.0
2010-11-28 18:15:05,553.0
2010-11-29 18:15:05,514.0
2010-11-30 18:15:05,565.0
2010-12-01 18:15:05,700.0
2010-12-02 18:15:05,586.0
2010-12-03 18:15:05,510.0
2010-12-04 18:15:05,515.0
2010-12-05 18:15:05,546.0
2010-12-06 18:15:05,540.0
2010-12-07 18:15:05,709.0
2010-12-08 18:15:05,686.0
2010-12-09 18:15:05,639.0
2010-12-10 18:15:05,514.0
2010-12-11 18:15:05,773.0
2010-12-12 18:15:05,832.0
2010-12-13 18:15:05,1116.0
2010-12-14 18:15:05,978.0
2010-12-15 18:15:05,841.0
