,NumTransactionsExcluding100
2011-12-27,5571.0
2011-12-28,4662.0
2011-12-29,4909.0
2011-12-30,4865.0
2011-12-31,5220.0
2012-01-01,4523.0
2012-01-02,5809.0
2012-01-03,5441.0
2012-01-04,5400.0
2012-01-05,6762.0
2012-01-06,6062.0
2012-01-07,5653.0
2012-01-08,5841.0
2012-01-09,5521.0
2012-01-10,5954.0
2012-01-11,6275.0
2012-01-12,6369.0
2012-01-13,5803.0
2012-01-14,6556.0
2012-01-15,6287.0
2012-01-16,6341.0
2012-01-17,6263.0
2012-01-18,6683.0
2012-01-19,6175.0
2012-01-20,6269.0
2012-01-21,6200.0
2012-01-22,4890.0
2012-01-23,5857.0
2012-01-24,6220.0
2012-01-25,7130.0
2012-01-26,6431.0
2012-01-27,6137.0
2012-01-28,5724.0
2012-01-29,5974.0
2012-01-30,5632.0
2012-01-31,6023.0
2012-02-01,6755.0
2012-02-02,6783.0
2012-02-03,6281.0
2012-02-04,7228.0
2012-02-05,5986.0
2012-02-06,5960.0
2012-02-07,6034.0
2012-02-08,6002.0
2012-02-09,5999.0
2012-02-10,6555.0
2012-02-11,6048.0
2012-02-12,5914.0
2012-02-13,6460.0
2012-02-14,7285.0
2012-02-15,6887.0
2012-02-16,6358.0
2012-02-17,6058.0
2012-02-18,6075.0
2012-02-19,5273.0
2012-02-20,5744.0
2012-02-21,5751.0
2012-02-22,6573.0
2012-02-23,7253.0
2012-02-24,6677.0
2012-02-25,6199.0
2012-02-26,5529.0
2012-02-27,6132.0
2012-02-28,6182.0
2012-02-29,6406.0
2012-03-01,6304.0
2012-03-02,7114.0
2012-03-03,5026.0
2012-03-04,5392.0
2012-03-05,6054.0
2012-03-06,6286.0
2012-03-07,5767.0
2012-03-08,5831.0
2012-03-09,5815.0
2012-03-10,5559.0
2012-03-11,4671.0
2012-03-12,4735.0
2012-03-13,6230.0
2012-03-14,6399.0
2012-03-15,5490.0
2012-03-16,5847.0
2012-03-17,6754.0
2012-03-18,5218.0
2012-03-19,6284.0
2012-03-20,6381.0
2012-03-21,6732.0
2012-03-22,6164.0
2012-03-23,6032.0
2012-03-24,5863.0
2012-03-25,5636.0
2012-03-26,6126.0
2012-03-27,5799.0
2012-03-28,6464.0
2012-03-29,6475.0
2012-03-30,6268.0
2012-03-31,5583.0
2012-04-01,5033.0
2012-04-02,5612.0
2012-04-03,6746.0
2012-04-04,6598.0
2012-04-05,6115.0
